"","unique(lncrna_genes$gene_id)"
"245","ENSG00000233755"
"246","ENSG00000231953"
"247","ENSG00000284602"
"248","ENSG00000284657"
"249","ENSG00000272432"
"250","ENSG00000225643"
"251","ENSG00000233478"
"252","ENSG00000228172"
"253","ENSG00000272478"
"254","ENSG00000236528"
"255","ENSG00000284309"
"256","ENSG00000225891"
"257","ENSG00000260063"
"258","ENSG00000226698"
"259","ENSG00000224311"
"260","ENSG00000241169"
"261","ENSG00000237429"
"262","ENSG00000233975"
"263","ENSG00000225886"
"264","ENSG00000287244"
"265","ENSG00000269971"
"266","ENSG00000270031"
"267","ENSG00000286433"
"268","ENSG00000227050"
"269","ENSG00000270605"
"270","ENSG00000271398"
"271","ENSG00000242125"
"272","ENSG00000279443"
"273","ENSG00000197989"
"274","ENSG00000229388"
"275","ENSG00000270103"
"276","ENSG00000233427"
"277","ENSG00000225750"
"278","ENSG00000237934"
"279","ENSG00000230523"
"280","ENSG00000228176"
"281","ENSG00000284676"
"282","ENSG00000233399"
"283","ENSG00000233372"
"284","ENSG00000236335"
"285","ENSG00000231949"
"286","ENSG00000186056"
"287","ENSG00000287510"
"288","ENSG00000229607"
"289","ENSG00000223382"
"290","ENSG00000235143"
"291","ENSG00000229044"
"292","ENSG00000284543"
"293","ENSG00000229167"
"294","ENSG00000235790"
"295","ENSG00000264078"
"296","ENSG00000254545"
"297","ENSG00000203620"
"298","ENSG00000269967"
"299","ENSG00000228634"
"300","ENSG00000284702"
"301","ENSG00000203325"
"302","ENSG00000250135"
"303","ENSG00000224066"
"304","ENSG00000233775"
"305","ENSG00000224409"
"306","ENSG00000287691"
"307","ENSG00000278966"
"308","ENSG00000236065"
"309","ENSG00000278997"
"310","ENSG00000279179"
"311","ENSG00000284721"
"312","ENSG00000270115"
"313","ENSG00000225313"
"314","ENSG00000233246"
"315","ENSG00000231163"
"316","ENSG00000287703"
"317","ENSG00000255811"
"318","ENSG00000230163"
"319","ENSG00000284640"
"320","ENSG00000227409"
"321","ENSG00000239636"
"322","ENSG00000232335"
"323","ENSG00000286899"
"324","ENSG00000271914"
"325","ENSG00000271554"
"326","ENSG00000286379"
"327","ENSG00000284705"
"328","ENSG00000284720"
